iter	MultiClass
0	1.022828691
1	0.9604294971
2	0.9142660218
3	0.8689477702
4	0.8296925598
5	0.7968862148
6	0.7701927739
7	0.7482356146
8	0.7266350633
9	0.7079341708
10	0.6931099729
11	0.6770783667
12	0.6644762346
13	0.6528213852
14	0.640774435
15	0.6318473706
16	0.6229154228
17	0.6170916796
18	0.6086237066
19	0.6040710249
20	0.5997145394
21	0.5932162786
22	0.589209822
23	0.5854293086
24	0.5807999725
25	0.5774237911
26	0.574025231
27	0.5724563783
28	0.5707951844
29	0.5693147729
30	0.5666696346
31	0.5633189167
32	0.5624275654
33	0.560795671
34	0.5575446828
35	0.5559901835
36	0.5549851336
37	0.5518305974
38	0.5507580697
39	0.5499190258
40	0.5482883189
41	0.5462565873
42	0.543620372
43	0.5421230011
44	0.5413308149
45	0.5406544639
46	0.5391483233
47	0.538228202
48	0.5370658836
49	0.5356456949
50	0.5343181101
51	0.5337278322
52	0.5332933061
53	0.532533419
54	0.5319565492
55	0.530464865
56	0.5298012084
57	0.5280591335
58	0.5265783086
59	0.5255132422
60	0.5248941174
61	0.5241539114
62	0.5236012398
63	0.5227201832
64	0.5219845206
65	0.5210462665
66	0.520330021
67	0.519529772
68	0.5186132585
69	0.5175108874
70	0.5171092496
71	0.516626501
72	0.5162240231
73	0.5153201765
74	0.5148474741
75	0.5140635556
76	0.5132927071
77	0.5123550879
78	0.5115031052
79	0.5104607744
80	0.5100737925
81	0.5093559161
82	0.5084606842
83	0.5061719769
84	0.5053236168
85	0.5045564402
86	0.5038846168
87	0.5029455748
88	0.5021965228
89	0.5016390581
90	0.5010061028
91	0.5004793674
92	0.4997426001
93	0.4992511485
94	0.4989346416
95	0.4981958362
96	0.4979440777
97	0.4973341659
98	0.4968733446
99	0.4958517395
100	0.4948610364
101	0.4944038536
102	0.494019902
103	0.4934326209
104	0.4928289437
105	0.4921655907
106	0.4918350304
107	0.4913711361
108	0.490050618
109	0.4895865899
110	0.4890176224
111	0.4874322911
112	0.4868004406
113	0.4862387363
114	0.4854357762
115	0.4850638346
116	0.4842811686
117	0.4836997775
118	0.4830677312
119	0.4826996782
120	0.4821606736
121	0.4816555052
122	0.4807127012
123	0.479598355
124	0.4786773965
125	0.4779714217
126	0.4774128531
127	0.4766552572
128	0.4762442404
129	0.4759670962
130	0.4752588537
131	0.4745387484
132	0.4740678089
133	0.4736902258
134	0.4731020508
135	0.4720840421
136	0.4715752279
137	0.4709190456
138	0.4705287342
139	0.4699374975
140	0.4692457804
141	0.4689966536
142	0.4685204934
143	0.4680691811
144	0.4676959287
145	0.4671811699
146	0.4667014051
147	0.4660850629
148	0.4656413966
149	0.4651721165
150	0.4646526303
151	0.4641899966
152	0.4635796091
153	0.4628798739
154	0.4623541225
155	0.4620084859
156	0.4615781367
157	0.4611605777
158	0.4606654494
159	0.4601863261
160	0.4597976061
161	0.4592226737
162	0.4587523379
163	0.4582009135
164	0.4577093033
165	0.4567182569
166	0.456413479
167	0.4558876877
168	0.4550071686
169	0.4547419963
170	0.4542623894
171	0.4539493625
172	0.453283469
173	0.4529642987
174	0.4523988362
175	0.4520862672
176	0.4517489174
177	0.4512548372
178	0.4508127547
179	0.4505539093
180	0.4500302661
181	0.4495880064
182	0.4490266476
183	0.4485997239
184	0.4481666137
185	0.4476768856
186	0.4472830125
187	0.4468281461
188	0.4464202372
189	0.4460104176
190	0.4457111565
191	0.4452491583
192	0.4448010707
193	0.4443929753
194	0.4441469643
195	0.4436157181
196	0.4431616449
197	0.442709691
198	0.441952371
199	0.441443664
200	0.4408735099
201	0.4403507165
202	0.4400904952
203	0.4398764833
204	0.439411827
205	0.4389652524
206	0.438718308
207	0.438003442
208	0.4376713528
209	0.4373155463
210	0.4369453792
211	0.4365223257
212	0.4361701693
213	0.4355592133
214	0.4349760523
215	0.4345789442
216	0.4340243971
217	0.4334442321
218	0.4331173188
219	0.4324294614
220	0.4320465778
221	0.4316435391
222	0.4313214737
223	0.4306777492
224	0.4301616038
225	0.4296708501
226	0.4292903273
227	0.4288162867
228	0.4285014892
229	0.4281743154
230	0.4278006093
231	0.4274816293
232	0.4270819118
233	0.4266942012
234	0.4262940414
235	0.4260812009
236	0.425542747
237	0.4251826936
238	0.4247345149
239	0.4242394948
240	0.4239312941
241	0.4236195514
242	0.4231044236
243	0.4229022115
244	0.4223944533
245	0.4219510744
246	0.4214228509
247	0.4210692473
248	0.420671252
249	0.4203679444
250	0.420097399
251	0.4199734813
252	0.4194418997
253	0.4191612003
254	0.4188718528
255	0.4185027957
256	0.4182632755
257	0.4180736483
258	0.4176932387
259	0.4173324116
260	0.4170291748
261	0.4167293657
262	0.4164506883
263	0.4161082483
264	0.4157707213
265	0.4155188593
266	0.4150783149
267	0.4147931766
268	0.4141510797
269	0.4138997663
270	0.4135394465
271	0.412950778
272	0.4125118481
273	0.4121581522
274	0.4118152544
275	0.411421662
276	0.4111826176
277	0.4109076104
278	0.4106462765
279	0.4104262379
280	0.4102301832
281	0.4096109417
282	0.4090800153
283	0.4086290808
284	0.4084539243
285	0.4082284899
286	0.4079887882
287	0.4078126544
288	0.4074376083
289	0.4072496653
290	0.4069488915
291	0.4065528347
292	0.4062773765
293	0.4060402012
294	0.4058162348
295	0.4055616823
296	0.4052394471
297	0.4048546793
298	0.404007512
299	0.4036021286
